customer_id,first_name,last_name,email,phone_number,pan_number,created_at,last_updated
1036,,,olndunff@example.com,5236400578,BRNUT1839I,2023-12-23,2020-08-01
1048,IbFHH,,gjahsn@example.com,8485223625,HWQNW3294S,2023-12-30,2021-02-13
1076,,,invalid@domain,12345,1234567890,2023-02-01,2023-12-18
1091,uympxW,,hvsnrcbp@example.com,9598478095,UFFOL7759L,2023-11-15,2024-09-03
1100,NnwGM,,invalid@domain,123-456-789,1234567890,2020-08-11,2022-04-11
1079,CIsX,uEWvX,ibobq@example.com,5078155548,QESQF7286H,2020-11-23,2022-02-01
1069,,ykLX,idpqd@example.com,6414486790,NGLNB3029G,2023-04-05,2020-08-20
1046,,,robcg@example.com,2346909386,SJIAJ0327X,2021-03-09,2023-10-13
1019,,,xcrsmc@example.com,8703628789,AVBKO7135X,2024-10-21,2021-09-07
1084,FJyckU,zAWGq,fzhjyopr@example.com,7199125531,UTQJK4571V,2022-05-27,2024-05-29
1043,TXVMPa,,hvyg@example.com,0292657825,NKYAW5944X,2022-08-15,2022-10-27
1030,UiDAPkiU,,mpzsignt@example.com,8312556727,RTIKL1756I,2020-11-05,2022-04-02
1040,,,uqapenrm@example.com,5383693971,ZVAFN3623R,2021-04-14,2023-06-07
1020,,HAikNQd,laqglna@example.com,7725863128,UGRNA3454J,2024-01-06,2024-11-23
1094,NKMlSFg,IWId,@missingusername.com,abcdefghij,!!!invalidPAN,2024-06-29,2021-07-15
1060,,,cadis@example.com,3593137770,MUGZH6697L,2022-01-09,2024-11-18
1004,,,mrbh@example.com,2597530001,WTGUU1206G,2024-05-30,2023-06-13
1011,,bgPSq,@missingusername.com,9999999999999,!!!invalidPAN,2024-06-10,2022-01-04
1071,KSWXZ,PMKj,invalid@domain,12345,!!!invalidPAN,2021-08-20,2022-01-16
1023,,oUyL,invalid@domain,12345,1234567890,2021-11-21,2024-11-12
1084,,,lbll@example.com,9278934829,JVZEV4840Z,2023-08-14,2020-01-18
1034,,,wlomcero@example.com,4820588442,IFNML9745F,2023-10-14,2020-11-13
1054,gcjKgeUU,GyNRat,uymem@example.com,2506127074,IGRMD9028P,2020-04-08,2023-11-02
1050,yKgL,,cdar@example.com,1760333432,RNNRO1758C,2023-04-03,2020-08-10
1069,TtaqC,,mbeqe@example.com,9464647805,JQVRV3719C,2020-09-26,2024-01-22
1076,,,inesgt@example.com,8944234981,IURCO6333C,2023-06-20,2024-10-15
1028,,,exzmvjf@example.com,9245929528,GLSFR5046V,2023-07-18,2020-04-05
